variant_id,variant_name,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,Full pipeline — baseline (all components enabled),{},40,0.0,0.0,0.0,0.0,0.0,,,587561,14689,0.077618
V2,no_cot_reasoning,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,582377,14559,0.074201
V3,no_validation,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,524713,13118,0.062312
V4,no_repair,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,548875,13722,0.067891
V5,no_table_selection_llm,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,581995,14550,0.074175
V6,no_schema_enrichment,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,535320,13383,0.070766
V7,no_rules,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,484256,12106,0.066629
V8,zero_shot_raw,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,377592,9440,0.04987
V9,no_semantic_planner,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,501380,12534,0.063716
V10,no_semantic_plan_validation,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,560825,14021,0.071355
V11,no_semantic_contract_validator,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,562281,14057,0.071725
V12,no_semantic_repair_guidance,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,564590,14115,0.072459
