variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,critical_rule,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total_internacoes FROM internacoes;,False,15.3,"sequence item 0: expected str instance, tuple found",,{},12495,255,12750,0.00195
V0,full_pipeline,GT002,easy,Quantas mortes foram registradas?,"SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;",False,20.37,"sequence item 0: expected str instance, tuple found",RULE_B,{},12381,279,12660,0.001257
V0,full_pipeline,GT007,easy,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti FROM internacoes WHERE ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0;",False,12.88,"sequence item 0: expected str instance, tuple found",RULE_A,{},12401,274,12675,0.001333
V0,full_pipeline,GT010,easy,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2;",False,13.93,"sequence item 0: expected str instance, tuple found",RULE_A,{},12343,254,12597,0.001236
V0,full_pipeline,GT014,medium,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE c.""CD_DESCRICAO"" ILIKE '%meningite%' AND i.""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND c.""CD_DESCRICAO"" ILIKE '%meningite%';",False,18.88,"sequence item 0: expected str instance, tuple found",RULE_B,{},14256,377,14633,0.001971
V0,full_pipeline,GT017,easy,Qual o tempo médio de permanência hospitalar?,"SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;","SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;",False,23.62,"sequence item 0: expected str instance, tuple found",,{},12461,361,12822,0.001702
V0,full_pipeline,GT040,easy,Qual a taxa de mortalidade infantil média no Brasil?,SELECT AVG(valor) AS taxa_media_mortalidade_infantil FROM socioeconomico WHERE metrica = 'mortalidade_infantil_1ano';,"SELECT AVG(""valor"") AS taxa_mortalidade_infantil_media FROM socioeconomico WHERE ""metrica"" = 'bolsa_familia_total' AND ""valor"" IS NOT NULL;",False,25.52,,,{},10043,604,10647,0.001552
V0,full_pipeline,GT021,hard,Quais são os 5 procedimentos mais realizados?,"SELECT p.""NOME_PROC"" AS procedimento, COUNT(*) AS total FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;","SELECT p.""NOME_PROC"", COUNT(*) AS total FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;",False,21.21,,,{},15164,603,15767,0.002252
V0,full_pipeline,GT023,medium,Quantas internações de UTI resultaram em óbito?,"SELECT COUNT(*) AS uti_com_obito FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;",False,14.34,"sequence item 0: expected str instance, tuple found",RULE_B,{},12718,386,13104,0.001371
V0,full_pipeline,GT028,hard,Quais sao os 10 municípios com mais de 100 internações com a maior taxa de mortalidade?,"SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d GROUP BY mu.nome HAVING COUNT(*) > 100 ORDER BY taxa_mortalidade DESC LIMIT 10;","WITH municipio_taxa AS ( SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d GROUP BY mu.nome HAVING COUNT(*) > 100 ) SELECT municipio, total_internacoes, total_mortes, taxa_mortalidade FROM municipio_taxa ORDER BY taxa_mortalidade DESC LIMIT 10;",False,23.54,"sequence item 0: expected str instance, tuple found",RULE_M,{},14272,1002,15274,0.002358
