variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,11.15,,ablation_20260506T022948_c4872fb0_V0_GT001,results,1,1,[[18443084]],[[18443084]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12339,225,12564,0.001986
V0,full_pipeline,GT002,easy,Quantas mortes foram registradas?,"SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;",True,9.28,,ablation_20260506T022948_c4872fb0_V0_GT002,results,1,1,[[763021]],[[763021]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_B,{},12381,270,12651,0.001251
V0,full_pipeline,GT007,easy,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti FROM internacoes WHERE ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0;",True,8.83,,ablation_20260506T022948_c4872fb0_V0_GT007,results,1,1,[[1109116]],[[1109116]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_A,{},12401,261,12662,0.001249
V0,full_pipeline,GT010,easy,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2;",True,7.92,,ablation_20260506T022948_c4872fb0_V0_GT010,results,1,1,[[2879421]],[[2879421]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_A,{},12343,254,12597,0.001313
V0,full_pipeline,GT014,medium,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE c.""CD_DESCRICAO"" ILIKE '%meningite%' AND i.""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND c.""CD_DESCRICAO"" ILIKE '%meningite%';",True,10.9,,ablation_20260506T022948_c4872fb0_V0_GT014,results,1,1,[[226]],[[226]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_B,{},14256,394,14650,0.001981
V0,full_pipeline,GT017,easy,Qual o tempo médio de permanência hospitalar?,"SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;","SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;",True,8.79,,ablation_20260506T022948_c4872fb0_V0_GT017,results,1,1,[[5.345298270072402]],[[5.345298270072402]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},12260,282,12542,0.001624
V0,full_pipeline,GT040,easy,Qual a taxa de mortalidade infantil média no Brasil?,SELECT AVG(valor) AS taxa_media_mortalidade_infantil FROM socioeconomico WHERE metrica = 'mortalidade_infantil_1ano';,"SELECT SUM(CASE WHEN ""metrica"" = 'morte_infantil' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS taxa_mortalidade_infantil_media FROM socioeconomico;",False,13.33,,ablation_20260506T022948_c4872fb0_V0_GT040,results,0,0,[],[],{},,{},9866,582,10448,0.001512
V0,full_pipeline,GT021,hard,Quais são os 5 procedimentos mais realizados?,"SELECT p.""NOME_PROC"" AS procedimento, COUNT(*) AS total FROM atendimentos a JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;","SELECT p.""NOME_PROC"", COUNT(*) AS total FROM internacoes i JOIN atendimentos a ON i.""N_AIH"" = a.""N_AIH"" JOIN procedimentos p ON a.""PROC_REA"" = p.""PROC_REA"" GROUP BY p.""NOME_PROC"" ORDER BY total DESC LIMIT 5;",True,16.05,,ablation_20260506T022948_c4872fb0_V0_GT021,results,5,5,"[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","[[""PARTO NORMAL"", 3190054], [""TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)"", 2382792], [""PARTO CESARIANO"", 1803442], [""TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"", 1601458], [""TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES"", 1052514]]","{""gt_size"": 5, ""pred_size"": 5, ""normalized_match"": true}",,{},15162,654,15816,0.002283
V0,full_pipeline,GT023,medium,Quantas internações de UTI resultaram em óbito?,"SELECT COUNT(*) AS uti_com_obito FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0 AND ""MORTE"" = true;",True,10.58,,ablation_20260506T022948_c4872fb0_V0_GT023,results,1,1,[[265410]],[[265410]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",RULE_B,{},12718,377,13095,0.001356
V0,full_pipeline,GT028,hard,Quais sao os 10 municípios com mais de 100 internações com a maior taxa de mortalidade?,"SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d GROUP BY mu.nome HAVING COUNT(*) > 100 ORDER BY taxa_mortalidade DESC LIMIT 10;","WITH municipio_mortalidade AS ( SELECT mu.nome AS municipio, COUNT(*) AS total_internacoes, SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) AS total_mortes, ROUND(SUM(CASE WHEN i.""MORTE"" = true THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) AS taxa_mortalidade FROM internacoes i JOIN municipios mu ON i.""MUNIC_RES"" = mu.codigo_6d GROUP BY mu.nome HAVING COUNT(*) > 100 ) SELECT municipio, total_internacoes, total_mortes, taxa_mortalidade FROM municipio_mortalidade ORDER BY taxa_mortalidade DESC LIMIT 10;",True,19.72,,ablation_20260506T022948_c4872fb0_V0_GT028,results,10,10,"[[""SÃ£o Bernardo do Campo"", 163, 16, 9.82], [""Rondon do ParÃ¡"", 847, 67, 7.91], [""Santo AntÃ´nio das MissÃµes"", 9197, 708, 7.7], [""Morro Redondo"", 5394, 401, 7.43], [""Pinheiro Machado"", 11204, 833, 7.43]]","[[""SÃ£o Bernardo do Campo"", 163, 16, 9.82], [""Rondon do ParÃ¡"", 847, 67, 7.91], [""Santo AntÃ´nio das MissÃµes"", 9197, 708, 7.7], [""Pinheiro Machado"", 11204, 833, 7.43], [""Morro Redondo"", 5394, 401, 7.43]]","{""gt_size"": 10, ""pred_size"": 10, ""normalized_match"": true}",RULE_M,{},14101,1001,15102,0.002332
