variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,20260506T022948_c4872fb0,Full pipeline — baseline (all components enabled),{},40,0.9,0.9,1.0,0.8,0.0,,,565975,14149,0.071991
V2,no_cot_reasoning,20260506T022948_c4872fb0,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",40,0.925,0.9,1.0,0.8667,2.5,1.0,0.5,566808,14170,0.069205
V3,no_validation,20260506T022948_c4872fb0,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",40,0.4,0.9,0.4,0.0667,-50.0,20.0,0.0,521756,13044,0.053446
V4,no_repair,20260506T022948_c4872fb0,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",40,0.8,0.9,0.8667,0.6667,-10.0,2.6667,0.125,547491,13687,0.057102
V5,no_table_selection_llm,20260506T022948_c4872fb0,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",40,0.925,0.9,1.0,0.8667,2.5,1.0,0.5,565139,14128,0.067959
V6,no_schema_enrichment,20260506T022948_c4872fb0,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",40,0.925,0.9,1.0,0.8667,2.5,1.0,0.5,522450,13061,0.0683
V7,no_rules,20260506T022948_c4872fb0,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",40,0.875,0.9,0.9333,0.8,-2.5,0.3333,0.625,463104,11578,0.063314
V8,zero_shot_raw,20260506T022948_c4872fb0,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",40,0.425,0.9,0.4667,0.0667,-47.5,19.0,0.0,374280,9357,0.050413
V9,no_semantic_planner,20260506T022948_c4872fb0,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",40,0.9,0.9,0.9333,0.8667,0.0,0.0,1.0,502622,12566,0.061549
V10,no_semantic_plan_validation,20260506T022948_c4872fb0,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",40,0.925,0.9,0.9333,0.9333,2.5,0.3333,0.625,560405,14010,0.068002
V11,no_semantic_contract_validator,20260506T022948_c4872fb0,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",40,0.925,0.9,0.9333,0.9333,2.5,0.3333,0.625,563100,14078,0.068573
V12,no_semantic_repair_guidance,20260506T022948_c4872fb0,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",40,0.9,0.9,1.0,0.8,0.0,0.0,1.0,565255,14131,0.069088
