variant_id,variant_name,id,difficulty,question,gold_sql,generated_sql,ex,elapsed_s,error,session_id,agent_result_source,gold_row_count,predicted_row_count,gold_rows_sample,predicted_rows_sample,comparison_details,critical_rule,flags,prompt_tokens,completion_tokens,total_tokens,total_cost_usd
V0,full_pipeline,GT001,easy,Quantas internações foram registradas no total?,SELECT COUNT(*) AS total_internacoes FROM internacoes;,SELECT COUNT(*) AS total FROM internacoes;,True,11.01,,ablation_20260510T045032_20b0adf9_V0_GT001,results,1,1,[[18443084]],[[18443084]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13863,246,14109,0.002227
V0,full_pipeline,GT002,easy,Quantas mortes foram registradas?,"SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;","SELECT COUNT(*) AS total_mortes FROM internacoes WHERE ""MORTE"" = true;",True,6.98,,ablation_20260510T045032_20b0adf9_V0_GT002,results,1,1,[[763021]],[[763021]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13928,295,14223,0.001393
V0,full_pipeline,GT003,easy,Quantos procedimentos diferentes existem cadastrados?,SELECT COUNT(*) AS total_procedimentos FROM procedimentos;,SELECT COUNT(*) AS total FROM procedimentos;,True,7.5,,ablation_20260510T045032_20b0adf9_V0_GT003,results,1,1,[[5395]],[[5395]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},17353,222,17575,0.0024
V0,full_pipeline,GT004,easy,Quantos códigos CID-10 estão disponíveis?,SELECT COUNT(*) AS total_cids FROM cid;,"SELECT ""CID"", COUNT(DISTINCT ""CID"") AS cid_catalog_count FROM cid GROUP BY ""CID"";",False,8.98,,ablation_20260510T045032_20b0adf9_V0_GT004,results,1,14262,[[14262]],"[[""T91"", 1], [""W334"", 1], [""Q183"", 1], [""V716"", 1], [""Q048"", 1]]","{""size_mismatch"": true, ""gt_size"": 1, ""pred_size"": 14262, ""size_difference"": 14261}",,{},10660,372,11032,0.001486
V0,full_pipeline,GT005,easy,Quantos hospitais estão cadastrados?,SELECT COUNT(*) AS total_hospitais FROM hospital;,"SELECT COUNT(DISTINCT h.""CNES"") AS total_hospitais, h.""MUNIC_MOV"" FROM hospital h GROUP BY h.""MUNIC_MOV"", h.""CNES"";",False,9.87,,ablation_20260510T045032_20b0adf9_V0_GT005,results,1,711,[[711]],"[[1, 430510], [1, 432070], [1, 430360], [1, 431340], [1, 432195]]","{""size_mismatch"": true, ""gt_size"": 1, ""pred_size"": 711, ""size_difference"": 710}",,{},13024,426,13450,0.001873
V0,full_pipeline,GT006,easy,Quantos municípios têm dados socioeconômicos registrados?,SELECT COUNT(DISTINCT codigo_6d) AS total_municipios FROM socioeconomico;,"SELECT mu.""codigo_6d"", COUNT(DISTINCT s.""codigo_6d"") AS total_municipios FROM municipios mu JOIN socioeconomico s ON s.""codigo_6d"" = mu.""codigo_6d"" GROUP BY mu.""codigo_6d"", mu.""codigo_ibge"", mu.""nome"", mu.""latitude"", mu.""longitude"", mu.""estado"";",False,10.86,,ablation_20260510T045032_20b0adf9_V0_GT006,results,0,0,[],[],{},,{},9659,630,10289,0.001491
V0,full_pipeline,GT007,easy,Quantos registros de internação em UTI existem?,"SELECT COUNT(*) AS total_uti FROM internacoes WHERE ""VAL_UTI"" > 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VAL_UTI"" > 0;",True,6.11,,ablation_20260510T045032_20b0adf9_V0_GT007,results,1,1,[[1109116]],[[1109116]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13925,270,14195,0.001377
V0,full_pipeline,GT008,easy,Quantos casos de VDRL positivo foram registrados?,"SELECT COUNT(*) AS total_vdrl FROM internacoes WHERE ""IND_VDRL"" = true;","SELECT COUNT(*) AS total FROM internacoes WHERE ""IND_VDRL"" = true;",True,6.25,,ablation_20260510T045032_20b0adf9_V0_GT008,results,1,1,[[2442516]],[[2442516]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},15714,296,16010,0.002131
V0,full_pipeline,GT009,easy,Quantas especialidades médicas estão cadastradas?,SELECT COUNT(*) AS total_especialidades FROM especialidade;,SELECT COUNT(*) AS total_especialidades FROM especialidade;,True,5.14,,ablation_20260510T045032_20b0adf9_V0_GT009,results,1,1,[[33]],[[33]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},8406,247,8653,0.001073
V0,full_pipeline,GT010,easy,Quantos casos obstétricos foram registrados?,"SELECT COUNT(*) AS total_obstetricos FROM internacoes WHERE ""ESPEC"" = 2;","SELECT COUNT(*) AS total FROM internacoes WHERE ""ESPEC"" = 2;",True,6.24,,ablation_20260510T045032_20b0adf9_V0_GT010,results,1,1,[[2879421]],[[2879421]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13917,326,14243,0.00141
V0,full_pipeline,GT011,medium,Quantos pacientes têm vínculo previdenciário informado?,"SELECT COUNT(*) AS total_vincprev FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""VINCPREV"" IS NOT NULL AND ""VINCPREV"" != 0;",True,6.87,,ablation_20260510T045032_20b0adf9_V0_GT011,results,1,1,[[7473]],[[7473]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},15344,355,15699,0.002111
V0,full_pipeline,GT012,medium,Quantos pacientes têm nível de instrução informado?,"SELECT COUNT(*) AS total_instrucao FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;","SELECT COUNT(*) AS total FROM internacoes WHERE ""INSTRU"" IS NOT NULL AND ""INSTRU"" != 0;",True,7.03,,ablation_20260510T045032_20b0adf9_V0_GT012,results,1,1,[[103553]],[[103553]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},15353,318,15671,0.002091
V0,full_pipeline,GT013,easy,Quantos pacientes do sexo masculino foram internados?,"SELECT COUNT(*) AS homens FROM internacoes WHERE ""SEXO"" = 1;","SELECT COUNT(*) AS total FROM internacoes WHERE ""SEXO"" = 1;",True,6.85,,ablation_20260510T045032_20b0adf9_V0_GT013,results,1,1,[[7683323]],[[7683323]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13903,280,14183,0.00138
V0,full_pipeline,GT014,medium,Quantas internações por meningite ocasionaram em morte?,"SELECT COUNT(*) FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE c.""CD_DESCRICAO"" ILIKE '%meningite%' AND i.""MORTE"" = true;","SELECT COUNT(*) AS total_obitos_meningite FROM internacoes i JOIN cid c ON i.""CID_MORTE"" = c.""CID"" WHERE i.""MORTE"" = true AND c.""CD_DESCRICAO"" ILIKE '%meningite%';",True,13.05,,ablation_20260510T045032_20b0adf9_V0_GT014,results,1,1,[[226]],[[226]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},14291,497,14788,0.001568
V0,full_pipeline,GT015,easy,Qual a descrição do código CID A15?,"SELECT ""CD_DESCRICAO"" FROM cid WHERE ""CID"" = 'A15';","SELECT ""CID"", ""CD_DESCRICAO"" FROM cid WHERE ""CID"" = 'A15' GROUP BY ""CID"", ""CD_DESCRICAO"";",True,8.2,,ablation_20260510T045032_20b0adf9_V0_GT015,results,1,1,"[[""Tuberc respirat c/conf bacteriol e histolog""]]","[[""A15"", ""Tuberc respirat c/conf bacteriol e histolog""]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true, ""projected_match"": true, ""gt_col_count"": 1, ""pred_col_count"": 2, ""matching_column_indices"": [1]}",,{},9583,407,9990,0.001278
V0,full_pipeline,GT017,easy,Qual o tempo médio de permanência hospitalar?,"SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;","SELECT AVG(""DIAS_PERM"") AS tempo_medio_permanencia FROM internacoes;",True,8.92,,ablation_20260510T045032_20b0adf9_V0_GT017,results,1,1,[[5.345298270072402]],[[5.345298270072402]],"{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},13996,358,14354,0.001825
V0,full_pipeline,GT018,medium,Quantos habitantes tem o município que tem a maior população segundo dados do IBGE?,"SELECT mu.nome AS municipio_maior_populacao, s.valor AS total_habitantes FROM socioeconomico s JOIN municipios mu ON s.codigo_6d = mu.codigo_6d WHERE s.metrica = 'populacao_total' ORDER BY s.valor DESC LIMIT 1;","SELECT mu.""nome"" AS municipio, s.""valor"" AS populacao_total FROM socioeconomico s JOIN municipios mu ON s.""codigo_6d"" = mu.""codigo_6d"" WHERE s.""metrica"" = 'populacao_total' ORDER BY s.""valor"" DESC LIMIT 1;",True,8.34,,ablation_20260510T045032_20b0adf9_V0_GT018,results,1,1,"[[""SÃ£o Paulo"", 11451999.0]]","[[""SÃ£o Paulo"", 11451999.0]]","{""gt_size"": 1, ""pred_size"": 1, ""normalized_match"": true}",,{},10903,492,11395,0.001595
