variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,20260510T045032_20b0adf9,Full pipeline — baseline (all components enabled),{},132,0.8333,0.7674,0.9318,0.8,0.0,,,2052617,15550,0.266975
V2,no_cot_reasoning,20260510T045032_20b0adf9,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",132,0.8409,0.7674,0.9318,0.8222,0.76,0.3333,0.625,2048410,15518,0.262942
V3,no_validation,20260510T045032_20b0adf9,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",132,0.4545,0.8837,0.4318,0.0667,-37.88,36.3788,0.0,1830270,13866,0.211363
V4,no_repair,20260510T045032_20b0adf9,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",132,0.6591,0.6977,0.8636,0.4222,-17.42,23.0,0.0,1907390,14450,0.224848
V5,no_table_selection_llm,20260510T045032_20b0adf9,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",132,0.8182,0.7674,0.9318,0.7556,-1.51,1.0,0.375,2051047,15538,0.263388
V6,no_schema_enrichment,20260510T045032_20b0adf9,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",132,0.8106,0.7674,0.9091,0.7556,-2.27,1.8,0.2188,1900347,14397,0.25131
V7,no_rules,20260510T045032_20b0adf9,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",132,0.7955,0.7674,0.9091,0.7111,-3.78,5.0,0.0312,1715582,12997,0.244315
V8,zero_shot_raw,20260510T045032_20b0adf9,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",132,0.447,0.907,0.4091,0.0444,-38.63,35.2113,0.0,1360127,10304,0.178287
V9,no_semantic_planner,20260510T045032_20b0adf9,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",132,0.8182,0.7674,0.9091,0.7778,-1.51,2.0,0.25,1829496,13860,0.22966
V10,no_semantic_plan_validation,20260510T045032_20b0adf9,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",132,0.8939,1.0,1.0,0.6889,6.06,2.6667,0.1078,1964501,14883,0.246382
V11,no_semantic_contract_validator,20260510T045032_20b0adf9,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",132,0.8258,0.7674,0.9318,0.7778,-0.75,0.3333,0.625,2049015,15523,0.262808
V12,no_semantic_repair_guidance,20260510T045032_20b0adf9,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",132,0.7348,0.7674,0.9318,0.5111,-9.85,13.0,0.0001,2067329,15662,0.274611
