variant_id,variant_name,run_id,description,flags,n_queries,ex_overall,ex_easy,ex_medium,ex_hard,delta_ex_pp,mcnemar_chi2,mcnemar_p,total_tokens,avg_tokens_per_query,total_cost_usd
V0,full_pipeline,20260506T235139_85bd7469,Full pipeline — baseline (all components enabled),{},40,0.95,1.0,0.9333,0.9333,0.0,,,565710,14143,0.073534
V2,no_cot_reasoning,20260506T235139_85bd7469,Remove reasoning_node (CoT planning before generation),"{""disable_cot_reasoning"": true}",40,0.95,1.0,0.9333,0.9333,0.0,0.0,1.0,565773,14144,0.073425
V3,no_validation,20260506T235139_85bd7469,Remove validate_sql_node (7 semantic rules),"{""disable_validation"": true}",40,0.4,0.9,0.4,0.0667,-55.0,22.0,0.0,522017,13050,0.060663
V4,no_repair,20260506T235139_85bd7469,Remove repair_sql_node (post-validation fix loop),"{""disable_repair"": true}",40,0.75,1.0,0.8,0.5333,-20.0,8.0,0.0039,548948,13724,0.066761
V5,no_table_selection_llm,20260506T235139_85bd7469,Remove LLM stage from 3-stage table selection cascade,"{""disable_table_selection_llm"": true}",40,0.95,1.0,0.9333,0.9333,0.0,0.0,1.0,567243,14181,0.072762
V6,no_schema_enrichment,20260506T235139_85bd7469,Remove _enhance_sus_schema_context (SUS-specific mappings),"{""disable_schema_enrichment"": true}",40,0.975,1.0,1.0,0.9333,2.5,1.0,0.5,518246,12956,0.070579
V7,no_rules,20260506T235139_85bd7469,Remove RULES A–O from SQL generation system prompt,"{""disable_rules"": true}",40,0.875,1.0,0.8667,0.8,-7.5,3.0,0.125,461669,11542,0.063473
V8,zero_shot_raw,20260506T235139_85bd7469,RULES + schema enrichment + CoT + validation all disabled,"{""disable_rules"": true, ""disable_schema_enrichment"": true, ""disable_cot_reasoning"": true, ""disable_validation"": true}",40,0.4,0.9,0.4667,0.0,-55.0,22.0,0.0,376921,9423,0.051621
V9,no_semantic_planner,20260506T235139_85bd7469,Skip LLM-assisted SemanticPlan reconciliation; keep heuristic plan_gate,"{""disable_semantic_planner"": true}",40,0.95,1.0,0.9333,0.9333,0.0,0.0,1.0,506583,12665,0.063985
V10,no_semantic_plan_validation,20260506T235139_85bd7469,"Skip SemanticPlan validation; keep DB validation, legacy rules, and repair","{""disable_semantic_plan_validation"": true}",40,0.875,1.0,0.8667,0.8,-7.5,3.0,0.125,562309,14058,0.071771
V11,no_semantic_contract_validator,20260506T235139_85bd7469,Skip AST contract validator; keep higher-level SemanticPlan rules,"{""disable_semantic_contract_validation"": true}",40,0.925,1.0,0.9333,0.8667,-2.5,1.0,0.5,559974,13999,0.073344
V12,no_semantic_repair_guidance,20260506T235139_85bd7469,"Keep repair node, but remove semantic repair guidance and deterministic semantic repairs","{""disable_semantic_repair_guidance"": true}",40,0.875,1.0,0.8,0.8667,-7.5,3.0,0.125,565372,14134,0.073053
