variant_id,variant_name,mode,description_variant,prompt_variant,id,difficulty,question,stage_used,heuristic_tables,heuristic_confidence,embedding_tables,embedding_confidence,llm_tables,llm_raw_response,raw_selected_tables,validated_selected_tables,gold_core_tables,gold_optional_tables,gold_forbidden_tables,raw_core_recall,raw_allowed_precision,raw_exact_core_match,raw_acceptable,raw_forbidden_hit,raw_missing_core,raw_unexpected_tables,raw_forbidden_selected,validated_core_recall,validated_allowed_precision,validated_exact_core_match,validated_acceptable,validated_forbidden_hit,validated_missing_core,validated_unexpected_tables,validated_forbidden_selected,error
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT001,easy,Quantas internações foram registradas no total?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT002,easy,Quantas mortes foram registradas?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT007,easy,Quantos registros de internação em UTI existem?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT010,easy,Quantos casos obstétricos foram registrados?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],"[""cid"", ""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT014,medium,Quantas internações por meningite ocasionaram em morte?,llm,[],0.0,[],0.0,"[""internacoes"", ""cid""]","internacoes, cid","[""internacoes"", ""cid""]","[""internacoes"", ""cid""]","[""internacoes"", ""cid""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT017,easy,Qual o tempo médio de permanência hospitalar?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT040,easy,Qual a taxa de mortalidade infantil média no Brasil?,llm,[],0.0,[],0.0,"[""socioeconomico""]",socioeconomico,"[""socioeconomico""]","[""socioeconomico""]","[""socioeconomico""]",[],"[""internacoes""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT021,hard,Quais são os 5 procedimentos mais realizados?,llm,[],0.0,[],0.0,"[""atendimentos"", ""procedimentos""]","atendimentos, procedimentos","[""atendimentos"", ""procedimentos""]","[""atendimentos"", ""procedimentos"", ""internacoes""]","[""atendimentos"", ""procedimentos""]","[""internacoes""]","[""socioeconomico"", ""cid""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,False,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT023,medium,Quantas internações de UTI resultaram em óbito?,llm,[],0.0,[],0.0,"[""internacoes""]",internacoes,"[""internacoes""]","[""internacoes""]","[""internacoes""]",[],[],1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
TS00,llm_only::role_guardrails::decision_checklist,llm_only,role_guardrails,decision_checklist,GT028,hard,Quais sao os 10 municípios com mais de 100 internações com a maior taxa de mortalidade?,llm,[],0.0,[],0.0,"[""internacoes"", ""municipios""]","internacoes, municipios","[""internacoes"", ""municipios""]","[""internacoes"", ""municipios""]","[""internacoes"", ""municipios""]",[],"[""socioeconomico""]",1.0,1.0,True,True,False,[],[],[],1.0,1.0,True,True,False,[],[],[],
